artist,title,sanitized_title,title_signature,top_position,first_week
POLOROID,SO DAMN BEAUTIFUL,SO DAMN BEAUTIFUL,"(2, 4, 9)",28,2003-10-05
POLTERGEIST,VICIOUS CIRCLES,VICIOUS CIRCLES,"(7, 7)",32,1996-06-30
POLYPHONIC SPREE,HANGING AROUND,HANGING AROUND,"(7, 6)",39,2002-10-27
POLYPHONIC SPREE,LIGHT AND DAY,LIGHT AND DAY,"(5, 3, 3)",40,2003-02-16
POLYPHONIC SPREE,SOLDIER GIRL,SOLDIER GIRL,"(7, 4)",26,2003-07-20
PONDLIFE,RING DING DING,RING DING DING,"(4, 4, 4)",11,2005-06-12
PONI-TAILS,BORN TOO LATE,BORN TOO LATE,"(4, 3, 4)",5,1958-09-19
PONI-TAILS,EARLY TO BED,EARLY TO BED,"(5, 2, 3)",26,1959-04-10
POP,CAN'T SAY GOODBYE,CANT SAY GOODBYE,"(4, 3, 7)",26,2004-09-05
POP,HEAVEN AND EARTH,HEAVEN AND EARTH,"(6, 3, 5)",14,2004-06-06
POP,SERIOUS,SERIOUS,"(7,)",16,2005-01-16
POP SMOKE,DIOR,DIOR,"(4,)",33,2020-02-28
POP SMOKE,FOR THE NIGHT,FOR THE NIGHT,"(3, 3, 5)",14,2020-07-10
POP SMOKE,MOOD SWINGS,MOOD SWINGS,"(4, 6)",23,2020-07-10
POP SMOKE,THE WOO,THE WOO,"(3, 3)",9,2020-07-10
POP SMOKE,WHAT YOU KNOW BOUT LOVE,WHAT YOU KNOW BOUT LOVE,"(4, 3, 4, 4, 4)",4,2020-09-25
POP SMOKE FT DUA LIPA,DEMEANOR,DEMEANOR,"(8,)",14,2021-07-23
POP SMOKE FT LIL TJAY,MOOD SWINGS,MOOD SWINGS,"(4, 6)",5,2020-07-17
POP SMOKE/50 CENT/RODDY RICCH,THE WOO,THE WOO,"(3, 3)",12,2020-07-17
POP SMOKE/LIL BABY/DABABY,FOR THE NIGHT,FOR THE NIGHT,"(3, 3, 5)",15,2020-07-17
POP WILL EAT ITSELF,92 DEGREES,92 DEGREES,"(2, 7)",23,1991-05-26
POP WILL EAT ITSELF,BULLETPROOF!,BULLETPROOF,"(11,)",24,1992-08-23
POP WILL EAT ITSELF,CAN U DIG IT?,CAN U DIG IT,"(3, 1, 3, 2)",38,1989-02-12
POP WILL EAT ITSELF,DANCE OF THE MAD,DANCE OF THE MAD,"(5, 2, 3, 3)",32,1990-10-07
POP WILL EAT ITSELF,EVERYTHING'S COOL?,EVERYTHINGS COOL,"(11, 4)",23,1994-09-04
POP WILL EAT ITSELF,GET THE GIRL! KILL THE BADDIES!,GET THE GIRL KILL THE BADDIES,"(3, 3, 4, 4, 3, 7)",9,1993-01-10
POP WILL EAT ITSELF,ICH BIN EIN AUSLANDER,ICH BIN EIN AUSLANDER,"(3, 3, 3, 9)",28,1994-03-06
POP WILL EAT ITSELF,KARMADROME/EAT ME DRINK ME LOVE ME,KARMADROMEEAT ME DRINK ME LOVE ME,"(13, 2, 5, 2, 4, 2)",17,1992-05-31
POP WILL EAT ITSELF,RSVP/FAMILIUS HORRIBILUS,RSVPFAMILIUS HORRIBILUS,"(12, 10)",27,1993-10-10
POP WILL EAT ITSELF,TOUCHED BY THE HAND OF CICCIOLINA,TOUCHED BY THE HAND OF CICCIOLINA,"(7, 2, 3, 4, 2, 10)",28,1990-06-03
POP WILL EAT ITSELF,"X, Y AND ZEE",X Y AND ZEE,"(1, 1, 3, 3)",15,1991-01-06
POPPY FAMILY FEATURING SUSAN JACKS,WHICH WAY YOU GOIN' BILLY? FT SUSAN JACKS,WHICH WAY YOU GOIN BILLY FT SUSAN JACKS,"(5, 3, 3, 4, 5, 2, 5, 5)",7,1970-08-23
POPPY GIRLS,THE CALL (NO NEED TO SAY GOODBYE),THE CALL,"(3, 4)",13,2013-11-17
POPPYFIELDS,45 RPM,45 RPM,"(2, 3)",28,2004-02-15
PORN KINGS,AMOUR (C'MON),AMOUR,"(5,)",17,1997-06-15
PORN KINGS,UP TO NO GOOD,UP TO NO GOOD,"(2, 2, 2, 4)",28,1996-09-22
PORN KINGS VS DJ SUPREME,UP TO THE WILDSTYLE,UP TO THE WILDSTYLE,"(2, 2, 3, 9)",10,1999-01-10
PORN KINGS VS FLIP & FILL,SHAKE YA SHIMMY,SHAKE YA SHIMMY,"(5, 2, 6)",28,2003-03-16
PORTER ROBINSON,LANGUAGE,LANGUAGE,"(8,)",9,2012-08-19
PORTISHEAD,ALL MINE,ALL MINE,"(3, 4)",8,1997-09-14
PORTISHEAD,GLORY BOX,GLORY BOX,"(5, 3)",13,1995-01-08
PORTISHEAD,ONLY YOU,ONLY YOU,"(4, 3)",35,1998-03-08
PORTISHEAD,OVER,OVER,"(4,)",25,1997-11-16
PORTISHEAD,SOUR TIMES,SOUR TIMES,"(4, 5)",13,1995-04-16
PORTRAIT,HERE WE GO AGAIN,HERE WE GO AGAIN,"(4, 2, 2, 5)",37,1993-03-21
PORTSMOUTH SINFONIA,CLASSICAL MUDDLY,CLASSICAL MUDDLY,"(9, 6)",38,1981-09-13
PORTUGAL THE MAN,FEEL IT STILL,FEEL IT STILL,"(4, 2, 5)",3,2017-10-27
POSITIVE FORCE,WE GOT THE FUNK,WE GOT THE FUNK,"(2, 3, 3, 4)",18,1980-01-06
POSITIVE GANG,SWEET FREEDOM,SWEET FREEDOM,"(5, 7)",34,1993-04-11
POST MALONE,BETTER NOW,BETTER NOW,"(6, 3)",6,2018-05-04
POST MALONE,CIRCLES,CIRCLES,"(7,)",3,2019-09-06
POST MALONE,HOLLYWOOD'S BLEEDING,HOLLYWOODS BLEEDING,"(10, 8)",11,2019-09-13
POST MALONE,I FALL APART,I FALL APART,"(1, 4, 5)",19,2017-10-06
POST MALONE,MOTLEY CREW,MOTLEY CREW,"(6, 4)",31,2021-07-16
POST MALONE,PARANOID,PARANOID,"(8,)",11,2018-05-04
POST MALONE,WOW.,WOW,"(3,)",3,2019-01-04
POST MALONE & QUAVO,CONGRATULATIONS,CONGRATULATIONS,"(15,)",26,2017-07-07
POST MALONE & WEEKND,ONE RIGHT NOW,ONE RIGHT NOW,"(3, 5, 3)",20,2021-11-12
POST MALONE FT 21 SAVAGE,ROCKSTAR,ROCKSTAR,"(8,)",1,2017-09-22
POST MALONE FT SWAE LEE,SUNFLOWER,SUNFLOWER,"(9,)",3,2018-10-26
POST MALONE FT TY DOLLA SIGN,PSYCHO,PSYCHO,"(6,)",4,2018-03-02
POST MALONE FT YOUNG THUG,GOODBYES,GOODBYES,"(8,)",10,2019-08-09
POST MALONE/OSBOURNE/SCOTT,TAKE WHAT YOU WANT,TAKE WHAT YOU WANT,"(4, 4, 3, 4)",22,2019-09-20
POST MALONE/YOUNG THUG,GOODBYES,GOODBYES,"(8,)",5,2019-07-12
POTTERS,WE'LL BE WITH YOU,WELL BE WITH YOU,"(4, 2, 4, 3)",34,1972-03-26
POUNDZ,OPP THOT,OPP THOT,"(3, 4)",33,2019-11-08
POV FEATURING JADE,ALL THRU THE NITE FT JADE,ALL THRU THE NITE FT JADE,"(3, 4, 3, 4, 2, 4)",32,1994-01-30
POWER MUSIC WORKOUT,ALL ABOUT THAT BASS,ALL ABOUT THAT BASS,"(3, 5, 4, 4)",13,2014-09-28
POWER STATION,GET IT ON,GET IT ON,"(3, 2, 2)",22,1985-05-12
POWER STATION,SOME LIKE IT HOT,SOME LIKE IT HOT,"(4, 4, 2, 3)",14,1985-03-10
POWERHOUSE,RHYTHM OF THE NIGHT,RHYTHM OF THE NIGHT,"(6, 2, 3, 5)",38,1997-12-14
POWERHOUSE FT DUANE HARDEN,WHAT YOU NEED,WHAT YOU NEED,"(4, 3, 4)",13,1999-05-16
POWFU FT BEABADOOBEE,DEATH BED,DEATH BED,"(5, 3)",4,2020-03-06
PP ARNOLD,THE FIRST CUT IS THE DEEPEST,THE FIRST CUT IS THE DEEPEST,"(3, 5, 3, 2, 3, 7)",18,1967-05-11
PPK,RELOAD,RELOAD,"(6,)",39,2002-10-20
PPK,RESURECTION,RESURECTION,"(11,)",3,2001-12-02
PRAGA KHAN,RAVE ALERT!,RAVE ALERT,"(4, 5)",39,1992-07-05
PRAGA KHAN FEATURING JADE 4 U,FREE YOUR BODY/INJECTED WITH A POISON FT JADE 4 U,FREE YOUR BODYINJECTED WITH A POISON FT JADE 4 U,"(4, 4, 12, 4, 1, 6, 2, 4, 1, 1)",16,1992-03-29
PRAISE,ONLY YOU,ONLY YOU,"(4, 3)",4,1991-01-27
PRAISE CATS FT ANDRE LOVE,SHINED ON ME,SHINED ON ME,"(6, 2, 2)",24,2005-05-15
PRAS,BLUE ANGELS,BLUE ANGELS,"(4, 6)",6,1998-11-01
PRAS MICHEL FT ODB & MYA,GHETTO SUPASTAR (THAT IS WHAT YOU ARE),GHETTO SUPASTAR,"(6, 8)",40,2013-06-16
PRAS MICHEL FT ODB & MYA,GHETTO SUPASTAR [THAT IS WHAT YOU ARE],GHETTO SUPASTAR THAT IS WHAT YOU ARE,"(6, 8, 4, 2, 4, 3, 3)",2,1998-06-21
PRATT AND MCCLAIN,HAPPY DAYS,HAPPY DAYS,"(5, 4)",31,1977-10-02
PRAXIS FEAT KATHY BROWN,TURN ME OUT (TURN TO SUGAR),TURN ME OUT,"(4, 2, 3)",35,1997-09-14
PRECIOUS,IT'S GONNA BE MY WAY,ITS GONNA BE MY WAY,"(3, 5, 2, 2, 3)",27,2000-07-09
PRECIOUS,REWIND,REWIND,"(6,)",11,2000-03-26
PRECIOUS,SAY IT AGAIN,SAY IT AGAIN,"(3, 2, 5)",6,1999-05-23
PRECISION TUNES,PAYPHONE,PAYPHONE,"(8,)",9,2012-06-17
PRECOCIOUS BRATS/KEVIN & PERRY,BIG GIRL,BIG GIRL,"(3, 4)",16,2000-04-30
PREEYA KALIDAS,SHAKALAKA BABY,SHAKALAKA BABY,"(9, 4)",38,2002-07-07
PREFAB SPROUT,A PRISONER OF THE PAST,A PRISONER OF THE PAST,"(1, 8, 2, 3, 4)",30,1997-05-04
PREFAB SPROUT,IF YOU DON'T LOVE ME,IF YOU DONT LOVE ME,"(2, 3, 4, 4, 2)",33,1992-08-02
PREFAB SPROUT,JORDAN: THE EP,JORDAN THE EP,"(6, 3, 2)",35,1991-01-06
PREFAB SPROUT,LIFE OF SURPRISES,LIFE OF SURPRISES,"(4, 2, 9)",24,1993-01-03
PREFAB SPROUT,THE KING OF ROCK 'N' ROLL,THE KING OF ROCK N ROLL,"(3, 4, 2, 4, 1, 4)",7,1988-05-01
PREFAB SPROUT,THE SOUND OF CRYING,THE SOUND OF CRYING,"(3, 5, 2, 6)",23,1992-06-07
PREFAB SPROUT,WHEN LOVE BREAKS DOWN {1985 RE-RELEASE},WHEN LOVE BREAKS DOWN,"(4, 4, 6, 4)",25,1985-11-17
PRELUDE,AFTER THE GOLD RUSH {1982},AFTER THE GOLD RUSH,"(5, 3, 4, 4)",28,1982-05-23
PRELUDE,AFTER THE GOLDRUSH,AFTER THE GOLDRUSH,"(5, 3, 8)",21,1974-01-20
PRESIDENTS OF THE USA,DUNE BUGGY,DUNE BUGGY,"(4, 5)",15,1996-07-14
PRESIDENTS OF THE USA,LUMP,LUMP,"(4,)",15,1995-12-31
PRESIDENTS OF THE USA,MACH 5,MACH 5,"(4, 1)",29,1996-10-27
PRESIDENTS OF THE USA,PEACHES,PEACHES,"(7,)",8,1996-04-14
PRETENDERS,HUMAN,HUMAN,"(5,)",33,1999-05-09
PRETENDERS,I'LL STAND BY YOU,ILL STAND BY YOU,"(3, 5, 2, 3)",10,1994-04-17
PRETENDERS,NIGHT IN MY VEINS,NIGHT IN MY VEINS,"(5, 2, 2, 5)",25,1994-06-26
PRETTY RECKLESS,MAKE ME WANNA DIE,MAKE ME WANNA DIE,"(4, 2, 5, 3)",16,2010-05-23
PRETTY RECKLESS,MISS NOTHING,MISS NOTHING,"(4, 7)",39,2010-08-29
PRETTY RICKY,GRIND WITH ME,GRIND WITH ME,"(5, 4, 2)",26,2005-09-18
PRETTY RICKY,YOUR BODY,YOUR BODY,"(4, 4)",37,2006-02-19
PRETTY THINGS,CRY TO ME,CRY TO ME,"(3, 2, 2)",28,1965-07-15
PRETTY THINGS,DON'T BRING ME DOWN,DONT BRING ME DOWN,"(4, 5, 2, 4)",10,1964-10-29
PRETTY THINGS,HONEY I NEED,HONEY I NEED,"(5, 1, 4)",13,1965-02-25
PRIMAL SCREAM,ACCELERATOR,ACCELERATOR,"(11,)",34,2000-09-17
PRIMAL SCREAM,BURNING WHEEL,BURNING WHEEL,"(7, 5)",17,1997-10-19
PRIMAL SCREAM,COME TOGETHER,COME TOGETHER,"(4, 8)",26,1990-08-12
PRIMAL SCREAM,COUNTRY GIRL,COUNTRY GIRL,"(7, 4)",5,2006-05-21
PRIMAL SCREAM,DIXIE-NARCO (EP),DIXIENARCO,"(10,)",11,1992-02-02
PRIMAL SCREAM,DOLLS,DOLLS,"(5,)",40,2006-08-13
PRIMAL SCREAM,HIGHER THAN THE SUN,HIGHER THAN THE SUN,"(6, 4, 3, 3)",40,1991-06-16
PRIMAL SCREAM,JAILBIRD,JAILBIRD,"(8,)",29,1994-06-12
PRIMAL SCREAM,KILL ALL HIPPIES,KILL ALL HIPPIES,"(4, 3, 7)",24,2000-03-26
PRIMAL SCREAM,KOWALSKI,KOWALSKI,"(8,)",8,1997-05-11
PRIMAL SCREAM,LOADED,LOADED,"(6,)",16,1990-03-04
PRIMAL SCREAM,MISS LUCIFER,MISS LUCIFER,"(4, 7)",25,2002-07-28
PRIMAL SCREAM,ROCKS/FUNKY JAM,ROCKSFUNKY JAM,"(10, 3)",7,1994-03-06
PRIMAL SCREAM,STAR,STAR,"(4,)",16,1997-06-22
PRIMAL SCREAM,SWASTIKA EYES,SWASTIKA EYES,"(8, 4)",22,1999-11-14
PRIMAL SCREAM/IRVINE WELSH &..,BIG MAN & SCREAM TEAM MEET BARMY ARMY..,BIG MAN  SCREAM TEAM MEET BARMY ARMY,"(3, 3, 0, 6, 4, 4, 5, 4)",17,1996-06-09
PRINCE,1999,1999,"(4,)",10,1983-01-30
PRINCE,1999/LITTLE RED CORVETTE,1999LITTLE RED CORVETTE,"(10, 3, 8)",2,1985-01-13
PRINCE,ALPHABET STREET,ALPHABET STREET,"(8, 6)",9,1988-05-01
PRINCE,BATDANCE,BATDANCE,"(8,)",2,1989-06-18
PRINCE,CONTROVERSY,CONTROVERSY,"(11,)",5,1993-12-05
PRINCE,GLAM SLAM,GLAM SLAM,"(4, 4)",29,1988-07-17
PRINCE,I COULD NEVER TAKE THE PLACE OF YOUR MAN,I COULD NEVER TAKE THE PLACE OF YOUR MAN,"(1, 5, 5, 4, 3, 5, 2, 4, 3)",29,1987-11-22
PRINCE,I WISH U HEAVEN,I WISH U HEAVEN,"(1, 4, 1, 6)",24,1988-10-30
PRINCE,IF I WAS YOUR GIRLFRIEND,IF I WAS YOUR GIRLFRIEND,"(2, 1, 3, 4, 10)",20,1987-06-14
PRINCE,KISS,KISS,"(4,)",6,1986-03-02
PRINCE,LETITGO,LETITGO,"(7,)",30,1994-09-04
PRINCE,MY NAME IS PRINCE,MY NAME IS PRINCE,"(2, 4, 2, 6)",7,1992-10-04
PRINCE,NEW POWER GENERATION,NEW POWER GENERATION,"(3, 5, 10)",26,1990-11-04
PRINCE,PARTYMAN,PARTYMAN,"(8,)",14,1989-09-03
PRINCE,PEACH,PEACH,"(5,)",14,1993-10-10
PRINCE,PURPLE MEDLEY,PURPLE MEDLEY,"(6, 6)",33,1995-03-12
PRINCE,SIGN 'O' THE TIMES,SIGN O THE TIMES,"(4, 1, 3, 5)",10,1987-03-08
PRINCE,THIEVES IN THE TEMPLE,THIEVES IN THE TEMPLE,"(7, 2, 3, 6)",7,1990-07-29
PRINCE,U GOT THE LOOK,U GOT THE LOOK,"(1, 3, 3, 4)",11,1987-08-09
PRINCE,WHEN DOVES CRY,WHEN DOVES CRY,"(4, 5, 3)",4,1984-07-01
PRINCE & THE REVOLUTION,KISS,KISS,"(4,)",38,2016-04-29
PRINCE & THE REVOLUTION,PURPLE RAIN,PURPLE RAIN,"(6, 4)",6,2016-04-29
PRINCE & THE REVOLUTION,WHEN DOVES CRY,WHEN DOVES CRY,"(4, 5, 3)",26,2016-04-29
PRINCE AND SHEENA EASTON,THE ARMS OF ORION,THE ARMS OF ORION,"(3, 4, 2, 5)",27,1989-11-12
PRINCE AND THE NEW POWER GENERATION,7,7,"(1,)",27,1992-11-29
PRINCE AND THE NEW POWER GENERATION,CREAM,CREAM,"(5,)",15,1991-09-15
PRINCE AND THE NEW POWER GENERATION,DIAMONDS AND PEARLS,DIAMONDS AND PEARLS,"(8, 3, 6)",25,1991-12-01
PRINCE AND THE NEW POWER GENERATION,GETT OFF,GETT OFF,"(4, 3)",4,1991-08-25
PRINCE AND THE NEW POWER GENERATION,MONEY DON'T MATTER 2 NIGHT,MONEY DONT MATTER 2 NIGHT,"(5, 4, 6, 1, 5)",19,1992-03-22
PRINCE AND THE NEW POWER GENERATION,SEXY MF/STROLLIN',SEXY MFSTROLLIN,"(4, 10)",4,1992-07-12
PRINCE AND THE NEW POWER GENERATION,THUNDER,THUNDER,"(7,)",28,1992-06-21
PRINCE AND THE REVOLUTION,ANOTHERLOVERHOLENYOHEAD,ANOTHERLOVERHOLENYOHEAD,"(23,)",36,1986-10-26
PRINCE AND THE REVOLUTION,GIRLS AND BOYS,GIRLS AND BOYS,"(5, 3, 4)",11,1986-08-10
PRINCE AND THE REVOLUTION,LET'S GO CRAZY/TAKE ME WITH U,LETS GO CRAZYTAKE ME WITH U,"(4, 2, 9, 2, 4, 1)",7,1985-02-17
PRINCE AND THE REVOLUTION,PAISLEY PARK,PAISLEY PARK,"(7, 4)",18,1985-06-02
PRINCE AND THE REVOLUTION,PURPLE RAIN,PURPLE RAIN,"(6, 4)",8,1984-09-16
PRINCE AND THE REVOLUTION,RASPBERRY BERET,RASPBERRY BERET,"(9, 5)",25,1985-07-28
PRINCE BUSTER,AL CAPONE,AL CAPONE,"(2, 6)",18,1967-03-09
PRINCE BUSTER,WHINE AND GRINE,WHINE AND GRINE,"(5, 3, 5)",21,1998-03-29
PRINCESS,AFTER THE LOVE HAS GONE,AFTER THE LOVE HAS GONE,"(5, 3, 4, 3, 4)",28,1985-11-24
PRINCESS,I'LL KEEP ON LOVING YOU,ILL KEEP ON LOVING YOU,"(3, 4, 2, 6, 3)",16,1986-04-13
PRINCESS,SAY I'M YOUR NUMBER ONE,SAY IM YOUR NUMBER ONE,"(3, 2, 4, 6, 3)",7,1985-08-04
PRINCESS,TELL ME TOMORROW,TELL ME TOMORROW,"(4, 2, 8)",34,1986-07-06
PRINCESS SUPERSTAR,BAD BABYSITTER,BAD BABYSITTER,"(3, 10)",11,2002-02-24
PRIZNA FEAT DEMOLITION MAN,FIRE,FIRE,"(4,)",33,1995-04-23
PROCLAIMERS,I'M GONNA BE (500 MILES),IM GONNA BE,"(2, 5, 2)",26,2007-03-18
PROCLAIMERS,LET'S GET MARRIED,LETS GET MARRIED,"(4, 3, 7)",21,1994-02-13
PROCLAIMERS,WHAT MAKES YOU CRY,WHAT MAKES YOU CRY,"(4, 5, 3, 3)",38,1994-04-17
PROCLAIMERS/B POTTER/A PIPKIN,(I'M GONNA BE) 500 MILES,500 MILES,"(3, 5)",1,2007-03-18
PROCOL HARUM,A WHITER SHADE OF PALE,A WHITER SHADE OF PALE,"(1, 6, 5, 2, 4)",1,1967-05-25
PROCOL HARUM,A WHITER SHADE OF PALE {1972},A WHITER SHADE OF PALE,"(1, 6, 5, 2, 4)",13,1972-04-23
PROCOL HARUM,CONQUISTADOR,CONQUISTADOR,"(12,)",22,1972-08-06
PROCOL HARUM,HOMBURG,HOMBURG,"(7,)",6,1967-10-04
PROCOL HARUM,PANDORA'S BOX,PANDORAS BOX,"(8, 3)",16,1975-08-24
PRODIGY,BABY'S GOT A TEMPER,BABYS GOT A TEMPER,"(5, 3, 1, 6)",5,2002-07-07
PRODIGY,BREATHE,BREATHE,"(7,)",1,1996-11-17
PRODIGY,FIRE/JERICHO,FIREJERICHO,"(11,)",11,1992-09-27
PRODIGY,FIRESTARTER,FIRESTARTER,"(11,)",1,1996-03-24
PRODIGY,GIRLS,GIRLS,"(5,)",19,2004-09-05
PRODIGY,NO GOOD (START THE DANCE),NO GOOD,"(2, 4)",4,1994-05-22
PRODIGY,OMEN,OMEN,"(4,)",4,2009-02-15
PRODIGY,POISON,POISON,"(6,)",15,1995-03-12
PRODIGY,SMACK MY BITCH UP,SMACK MY BITCH UP,"(5, 2, 5, 2)",8,1997-11-23
PRODIGY,TAKE ME TO THE HOSPITAL,TAKE ME TO THE HOSPITAL,"(4, 2, 2, 3, 8)",38,2009-09-06
PRODIGY,VOODOO PEOPLE,VOODOO PEOPLE,"(6, 6)",13,1994-09-18
PRODIGY,VOODOO PEOPLE/OUT OF SPACE,VOODOO PEOPLEOUT OF SPACE,"(6, 9, 2, 5)",20,2005-10-09
PRODIGY,WARRIOR'S DANCE,WARRIORS DANCE,"(8, 5)",9,2009-04-26
PROFESSOR GREEN,MONSTER,MONSTER,"(7,)",29,2010-10-10
PROFESSOR GREEN,NEVER BE A RIGHT TIME,NEVER BE A RIGHT TIME,"(5, 2, 1, 5, 4)",35,2012-01-29
PROFESSOR GREEN FT ED DREWETT,I NEED YOU TONIGHT,I NEED YOU TONIGHT,"(1, 4, 3, 7)",3,2010-04-18
PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT,READ ALL ABOUT IT,"(4, 3, 5, 2)",1,2011-10-30
PROFESSOR GREEN FT LILY ALLEN,JUST BE GOOD TO GREEN,JUST BE GOOD TO GREEN,"(4, 2, 4, 2, 5)",5,2010-07-18
PROFESSOR GREEN FT MAVERICK,JUNGLE,JUNGLE,"(6,)",31,2011-01-09
PROFESSOR GREEN FT RUTH ANNE,REMEDY,REMEDY,"(6,)",18,2012-05-20
PROFESSOR GREEN FT TORI KELLY,LULLABY,LULLABY,"(7,)",4,2014-09-21
PROFESSOR GREEN/KUSTERBECK,AVALON,AVALON,"(6,)",29,2012-09-09
PROGRESS PTS THE BOY WUNDA,EVERYBODY,EVERYBODY,"(9,)",7,1999-12-12
PROPAGANDA,DR MABUSE,DR MABUSE,"(2, 6)",27,1984-04-08
PROPAGANDA,DUEL,DUEL,"(4,)",21,1985-05-26
PROPAGANDA,HEAVEN GIVE ME WORDS,HEAVEN GIVE ME WORDS,"(6, 4, 2, 5)",36,1990-04-29
PROPELLERHEADS,SPYBREAK!,SPYBREAK,"(8,)",40,1997-05-11
PROPELLERHEADS/DAVID ARNOLD,ON HER MAJESTY'S SECRET SERVICE,ON HER MAJESTYS SECRET SERVICE,"(2, 3, 8, 6, 7)",7,1997-10-12
PROPELLERHEADS/SHIRLEY BASSEY,HISTORY REPEATING,HISTORY REPEATING,"(7, 9)",19,1997-12-14
PROTOCOL,WHERE'S THE PLEASURE,WHERES THE PLEASURE,"(6, 3, 8)",27,2006-01-29
PS1 FT ALEX HOSKING,FAKE FRIENDS,FAKE FRIENDS,"(4, 7)",19,2020-07-17
PSEUDO ECHO,FUNKY TOWN,FUNKY TOWN,"(5, 4)",8,1987-08-02
PSY,GANGNAM STYLE,GANGNAM STYLE,"(7, 5)",1,2012-09-16
PSY,GENTLEMAN,GENTLEMAN,"(9,)",10,2013-04-21
PSYCHEDELIC WALTONS,WONDERLAND,WONDERLAND,"(10,)",37,2002-01-13
PUBLIC ANNOUNCEMENT,BODY BUMPIN' (YIPPIE-YI-YO),BODY BUMPIN,"(4, 6)",38,1998-06-28
PUBLIC DOMAIN,OPERATION BLADE (BASS IN THE PLACE),OPERATION BLADE,"(9, 5)",5,2000-11-26
PUBLIC DOMAIN,TOO MANY MC'S/LET ME CLEAR MY THROAT,TOO MANY MCSLET ME CLEAR MY THROAT,"(3, 4, 6, 2, 5, 2, 6)",34,2002-01-06
PUBLIC DOMAIN FT CHUCK D,ROCK DA FUNKY BEATS,ROCK DA FUNKY BEATS,"(4, 2, 5, 5)",19,2001-06-17
PUBLIC ENEMY,BRING THE NOISE,BRING THE NOISE,"(5, 3, 5)",32,1988-01-10
PUBLIC ENEMY,CAN'T TRUSS IT,CANT TRUSS IT,"(4, 5, 2)",22,1991-10-06
PUBLIC ENEMY,DON'T BELIEVE THE HYPE,DONT BELIEVE THE HYPE,"(4, 7, 3, 4)",18,1988-06-26
PUBLIC ENEMY,FIGHT THE POWER,FIGHT THE POWER,"(5, 3, 5)",29,1989-06-18
PUBLIC ENEMY,GIVE IT UP,GIVE IT UP,"(4, 2, 2)",18,1994-08-07
PUBLIC ENEMY,HARDER THAN YOU THINK,HARDER THAN YOU THINK,"(6, 4, 3, 5)",4,2012-07-29
PUBLIC ENEMY,HE GOT GAME,HE GOT GAME,"(2, 3, 4)",16,1998-05-31
PUBLIC ENEMY,REBEL WITHOUT A PAUSE,REBEL WITHOUT A PAUSE,"(5, 7, 1, 5)",37,1987-11-22
PUBLIC ENEMY,SHUT 'EM DOWN,SHUT EM DOWN,"(4, 2, 4)",21,1992-01-19
PUBLIC ENEMY,WELCOME TO THE TERRORDOME,WELCOME TO THE TERRORDOME,"(7, 2, 3, 10)",18,1990-01-14
PUBLIC IMAGE LIMITED,DEATH DISCO,DEATH DISCO,"(5, 5)",20,1979-07-01
PUBLIC IMAGE LIMITED,DISAPPOINTED,DISAPPOINTED,"(12,)",38,1989-05-14
PUBLIC IMAGE LIMITED,DON'T ASK ME,DONT ASK ME,"(4, 3, 2)",22,1990-10-14
PUBLIC IMAGE LIMITED,FLOWERS OF ROMANCE,FLOWERS OF ROMANCE,"(7, 2, 7)",24,1981-04-05
PUBLIC IMAGE LIMITED,PUBLIC IMAGE,PUBLIC IMAGE,"(6, 5)",9,1978-10-15
PUBLIC IMAGE LIMITED,RISE,RISE,"(4,)",11,1986-01-26
PUBLIC IMAGE LIMITED,THIS IS NOT A LOVE SONG,THIS IS NOT A LOVE SONG,"(4, 2, 3, 1, 4, 4)",5,1983-09-18
PUDDLE OF MUDD,BLURRY,BLURRY,"(6,)",8,2002-06-09
PUDDLE OF MUDD,CONTROL,CONTROL,"(7,)",15,2002-02-17
PUDDLE OF MUDD,SHE HATES ME,SHE HATES ME,"(3, 5, 2)",14,2002-09-22
PUDSEY'S BEAUTIFUL DREAMERS,WE HAVE A DREAM,WE HAVE A DREAM,"(2, 4, 1, 5)",40,2008-11-16
PUFF DADDY & FAITH EVANS,I'LL BE MISSING YOU,ILL BE MISSING YOU,"(3, 2, 7, 3)",1,1997-06-22
PUFF DADDY & THE FAMILY,BEEN AROUND THE WORLD,BEEN AROUND THE WORLD,"(4, 6, 3, 5)",20,1997-10-26
PUFF DADDY & THE FAMILY,IT'S ALL ABOUT THE BENJAMINS,ITS ALL ABOUT THE BENJAMINS,"(3, 3, 5, 3, 9)",18,1998-02-01
PUFF DADDY FEAT MASE,CAN'T NOBODY HOLD ME DOWN,CANT NOBODY HOLD ME DOWN,"(4, 6, 4, 2, 4)",19,1997-03-23
PUFF DADDY FT FAITH EVANS,I'LL BE MISSING YOU,ILL BE MISSING YOU,"(3, 2, 7, 3)",32,2007-07-08
PUFF DADDY FT HURRICANE G,P.E. 2000,PE 2000,"(2, 4)",13,1999-08-15
PUFF DADDY FT JIMMY PAGE,COME WITH ME,COME WITH ME,"(4, 4, 2)",2,1998-08-02
PUFF DADDY FT MARIO WINANS,BEST FRIEND,BEST FRIEND,"(4, 6)",24,1999-11-14
PUFF DADDY FT R KELLY,SATISFY YOU,SATISFY YOU,"(7, 3)",8,2000-03-05
PUFF JOHNSON,FOREVER MORE,FOREVER MORE,"(7, 4)",29,1997-04-06
